set_id;id;name;name_ru;angle;orb;good;icon

0;0;Conjunction;Соединение;0;5;0;images/aspects/conjunction.png
0;4;Quadrature;Квадрат;90;5;-;images/aspects/quadrature.png
0;1;Trine;Трин;120;5;+;images/aspects/trine.png
0;3;Opposition;Оппозиция;180;5;--;images/aspects/opposition.png

3;0;Conjunction;Соединение;0;27.683;0;images/aspects/conjunction.png
3;4;Quadrature;Квадрат;90;6.466;-;images/aspects/quadrature.png
3;1;Trine;Трин;120;8.9;+;images/aspects/trine.png
3;3;Opposition;Оппозиция;180;13.85;--;images/aspects/opposition.png

5;0;Conjunction;Соединение;0;14.4;0;images/aspects/conjunction.png
5;1;Trine;Трин;120;4.71;+;images/aspects/trine.png
5;2;Sextile;Секстиль;60;2.24;+;images/aspects/sextile.png
5;3;Opposition;Оппозиция;180;7.2;--;images/aspects/opposition.png
5;4;Quadrature;Квадрат;90;3.47;-;images/aspects/quadrature.png
5;5;Semisquare;Полуквадрат;45;1.625;+;images/aspects/semisquare.png
5;6;Septile;Септиль;51.417;1.642;-;images/aspects/septile.png
5;7;Quintile;Квинтиль;72;2.625;+;images/aspects/quintile.png
5;8;Biseptile;Бисептиль;102.85;1.334;-;images/aspects/biseptile.png
5;9;Sesquisquare;Полутораквадрат;135;1.025;+;images/aspects/sesquisquare.png
5;10;Biquintile;Биквинтиль;144;2.217;+;images/aspects/biquintile.png
5;11;Triseptile;Трисептиль;154.283;1.333;-;images/aspects/triseptile.png

6;0;Conjunction;Соединение;0;9.73;0;images/aspects/conjunction.png
6;1;Trine;Трин;120;3.2;-;images/aspects/trine.png
6;2;Sextile;Секстиль;60;1.542;+;images/aspects/sextile.png
6;3;Opposition;Оппозиция;180;4.867;+;images/aspects/opposition.png
6;4;Quadrature;Квадрат;90;2.367;+;images/aspects/quadrature.png
6;5;Semisquare;Полуквадрат;45;1.025;-;images/aspects/semisquare.png
6;6;Septile;Септиль;51.417;1.133;+;images/aspects/septile.png
6;7;Quintile;Квинтиль;72;1.692;+;images/aspects/quintile.png
6;8;Biseptile;Бисептиль;102.85;0.867;+;images/aspects/biseptile.png
6;9;Sesquisquare;Полутораквадрат;135;0.658;-;images/aspects/sesquisquare.png
6;10;Biquintile;Биквинтиль;144;1.542;+;images/aspects/biquintile.png
6;11;Triseptile;Трисептиль;154.283;0.858;+;images/aspects/triseptile.png
6;12;Semisextile;Полусекстиль;30;0.725;++;images/aspects/semisextile.png
6;13;Undecile;Ундециль;32.717;0.667;--;images/aspects/undecile.png
6;14;Decile;Дециль;36;0.808;-;images/aspects/decile.png
6;15;Nonagon;Нонагон;40;0.992;0;images/aspects/nonagon.png
6;16;Biundecile;Биундециль;65.45;0.458;--;images/aspects/biundecile.png
6;17;Binonagon;Бинонагон;80;0.683;0;images/aspects/binonagon.png
6;18;Triundecile;Триундециль;98.183;0.458;--;images/aspects/triundecile.png
6;19;Tridecile;Тридециль;108;0.55;-;images/aspects/tridecile.png
6;20;Quarundecile;Кварундециль;130.917;0.458;--;images/aspects/quarundecile.png
6;21;Quincunx;Квиконс;150;0.383;++;images/aspects/quincunx.png
6;22;Quarnonagon;Кварнонагон;160;0.683;0;images/aspects/quarnonagon.png
6;23;Quintundecile;Квинтундециль;163.633;0.458;--;images/aspects/quintundecile.png

7;0;Conjunction;Соединение;0;7.35;0;images/aspects/conjunction.png
7;1;Trine;Трин;120;2.425;-;images/aspects/trine.png
7;2;Sextile;Секстиль;60;1.175;+;images/aspects/sextile.png
7;3;Opposition;Оппозиция;180;4.867;++;images/aspects/opposition.png
7;4;Quadrature;Квадрат;90;1.808;+;images/aspects/quadrature.png
7;5;Semisquare;Полуквадрат;45;0.867;-;images/aspects/semisquare.png
7;6;Septile;Септиль;51.417;0.983;+;images/aspects/septile.png
7;7;Quintile;Квинтиль;72;1.375;+;images/aspects/quintile.png
7;8;Biseptile;Бисептиль;102.85;0.7;+;images/aspects/biseptile.png
7;9;Sesquisquare;Полутораквадрат;135;0.542;-;images/aspects/sesquisquare.png
7;10;Biquintile;Биквинтиль;144;1.15;+;images/aspects/biquintile.png
7;11;Triseptile;Трисептиль;154.283;0.7;+;images/aspects/triseptile.png
7;12;Semisextile;Полусекстиль;30;0.567;++;images/aspects/semisextile.png
7;13;Undecile;Ундециль;32.717;0.542;--;images/aspects/undecile.png
7;14;Decile;Дециль;36;0.659;-;images/aspects/decile.png
7;15;Nonagon;Нонагон;40;0.692;0;images/aspects/nonagon.png
7;16;Biundecile;Биундециль;65.45;0.392;--;images/aspects/biundecile.png
7;17;Binonagon;Бинонагон;80;0.525;0;images/aspects/binonagon.png
7;18;Triundecile;Триундециль;98.183;0.35;--;images/aspects/triundecile.png
7;19;Tridecile;Тридециль;108;0.425;-;images/aspects/tridecile.png
7;20;Quarundecile;Кварундециль;130.917;0.35;--;images/aspects/quarundecile.png
7;21;Quincunx;Квиконс;150;0.292;++;images/aspects/quincunx.png
7;22;Quarnonagon;Кварнонагон;160;0.512;0;images/aspects/quarnonagon.png
7;23;Quintundecile;Квинтундециль;163.633;0.4;--;images/aspects/quintundecile.png
7;24;Sedecile;Седециль;22.5;0.408;++;images/aspects/sedecile.png
7;25;Quindecile;Квиндециль;24;0.358;--;images/aspects/quindecile.png
7;26;Quardecile;Квардециль;25.717;0.408;0;images/aspects/quardecile.png
7;27;Terdecile;Тердециль;27.7;0.475;-;images/aspects/terdecile.png
7;28;Biquindecile;Биквиндециль;48;0.25;--;images/aspects/biquindecile.png
7;29;Biterdecile;Битердециль;55.383;0.325;-;images/aspects/biterdecile.png
7;30;Trisedecile;Триседециль;67.5;0.217;++;images/aspects/trisedecile.png
7;31;Triquardecile;Триквардециль;77.15;0.247;0;images/aspects/triquardecile.png
7;32;Triterdecile;Тритердециль;83.083;0.283;-;images/aspects/triterdecile.png
7;33;Quarquindecile;Кварквиндециль;96;0.208;--;images/aspects/quarquindecile.png
7;34;Quarterdecile;Квартердециль;110.767;0.283;-;images/aspects/quarterdecile.png
7;35;Quinsedecile;Квинседециль;112.5;0.217;++;images/aspects/quinsedecile.png
7;36;Quinquardecile;Квинквардециль;128.57;0.242;0;images/aspects/quinquardecile.png
7;37;Quinterdecile;Квинтердециль;138.47;0.25;-;images/aspects/quinterdecile.png
7;38;Septsedecile;Септседециль;157.5;0.183;++;images/aspects/septsedecile.png
7;39;Sexterdecile;Секстердециль;166.15;0.325;-;images/aspects/sexterdecile.png
7;40;Septquindecile;Септквиндециль;168;0.25;--;images/aspects/septquindecile.png

9;0;Conjunction;Соединение;0;14.4;0;images/aspects/conjunction.png
9;4;Quadrature;Квадрат;90;3.466;-;images/aspects/quadrature.png
9;1;Trine;Трин;120;4.71;+;images/aspects/trine.png
9;3;Opposition;Оппозиция;180;7.2;--;images/aspects/opposition.png

25;0;Conjunction;Соединение;0;7.35;0;images/aspects/conjunction.png
25;1;Trine;Трин;120;2.425;+;images/aspects/trine.png
25;2;Sextile;Секстиль;60;1.175;+;images/aspects/sextile.png
25;3;Opposition;Оппозиция;180;3.683;--;images/aspects/opposition.png
25;4;Quadrature;Квадрат;90;1.81;-;images/aspects/quadrature.png
25;5;Semisquare;Полуквадрат;45;0.867;+;images/aspects/semisquare.png
25;6;Septile;Септиль;51.417;1.0;-;images/aspects/septile.png
25;7;Quintile;Квинтиль;72;1.375;+;images/aspects/quintile.png
25;8;Biseptile;Бисептиль;102.85;0.7;-;images/aspects/biseptile.png
25;9;Sesquisquare;Полутораквадрат;135;0.542;+;images/aspects/sesquisquare.png
25;10;Biquintile;Биквинтиль;144;1.15;+;images/aspects/biquintile.png
25;11;Triseptile;Трисептиль;154.283;0.7;-;images/aspects/triseptile.png

36;0;Conjunction;Соединение;0;4.93;0;images/aspects/conjunction.png
36;1;Trine;Трин;120;1.63;-;images/aspects/trine.png
36;2;Sextile;Секстиль;60;0.8;+;images/aspects/sextile.png
36;3;Opposition;Оппозиция;180;2.47;+;images/aspects/opposition.png
36;4;Quadrature;Квадрат;90;1.22;+;images/aspects/quadrature.png
36;5;Semisquare;Полуквадрат;45;0.6;-;images/aspects/semisquare.png
36;6;Septile;Септиль;51.417;0.64;+;images/aspects/septile.png
36;7;Quintile;Квинтиль;72;0.933;+;images/aspects/quintile.png
36;8;Biseptile;Бисептиль;102.85;0.47;+;images/aspects/biseptile.png
36;9;Sesquisquare;Полутораквадрат;135;0.37;-;images/aspects/sesquisquare.png
36;10;Biquintile;Биквинтиль;144;0.775;+;images/aspects/biquintile.png
36;11;Triseptile;Трисептиль;154.283;0.475;+;images/aspects/triseptile.png
36;12;Semisextile;Полусекстиль;30;0.39;++;images/aspects/semisextile.png
36;13;Undecile;Ундециль;32.717;0.4;--;images/aspects/undecile.png
36;14;Decile;Дециль;36;0.425;-;images/aspects/decile.png
36;15;Nonagon;Нонагон;40;0.525;0;images/aspects/nonagon.png
36;16;Biundecile;Биундециль;65.45;0.258;--;images/aspects/biundecile.png
36;17;Binonagon;Бинонагон;80;0.35;0;images/aspects/binonagon.png
36;18;Triundecile;Триундециль;98.183;0.24;--;images/aspects/triundecile.png
36;19;Tridecile;Тридециль;108;0.3;-;images/aspects/tridecile.png
36;20;Quarundecile;Кварундециль;130.917;0.24;--;images/aspects/quarundecile.png
36;21;Quincunx;Квиконс;150;0.2;++;images/aspects/quincunx.png
36;22;Quarnonagon;Кварнонагон;160;0.358;0;images/aspects/quarnonagon.png
36;23;Quintundecile;Квинтундециль;163.633;0.258;--;images/aspects/quintundecile.png

49;0;Conjunction;Соединение;0;3.71;0;images/aspects/conjunction.png
49;1;Trine;Трин;120;1.225;-;images/aspects/trine.png
49;2;Sextile;Секстиль;60;0.61;+;images/aspects/sextile.png
