zodiac id;id;tag;name;start angle;sector;fontChar;bgcolor;shapeColor;fillColor
0;0;Ari;Овен;0;30;164;#af5355;#561111;#e3432b
0;1;Tau;Телец;30;30;167;#bba983;#60520e;#cdd987
0;2;Gem;Близнецы;60;30;169;#a3b2a6;#95cef1;#d3e2e5
0;3;Cnc;Рак;90;30;174;#6492a0;#0b4b73;#7dd0f1
0;4;Leo;Лев;120;30;177;#af5355;#561111;#e3432b
0;5;Vir;Дева;150;30;180;#bba983;#60520e;#cdd987
0;6;Lib;Весы;180;30;181;#a3b2a6;#95cef1;#d3e2e5
0;7;Sco;Скорпион;210;30;186;#6492a0;#0b4b73;#7dd0f1
0;8;Sgr;Стрелец;240;30;188;#af5355;#561111;#e3432b
0;9;Cap;Козерог;270;30;191;#bba983;#60520e;#cdd987
0;10;Aqr;Водолей;300;30;194;#a3b2a6;#95cef1;#d3e2e5
0;11;Psc;Рыбы;330;30;198;#6492a0;#0b4b73;#7dd0f1
1;0;Ari;Овен;28;21;164;#af5355;#561111;#e3432b
1;1;Tau;Телец;49;39;167;#bba983;#60520e;#cdd987
1;2;Gem;Близнецы;88;32;169;#a3b2a6;#95cef1;#d3e2e5
1;3;Cnc;Рак;120;18;174;#6492a0;#0b4b73;#7dd0f1
1;4;Leo;Лев;138;37;177;#af5355;#561111;#e3432b
1;5;Vir;Дева;175;35;180;#bba983;#60520e;#cdd987
1;6;Lib;Весы;210;23;181;#a3b2a6;#95cef1;#d3e2e5
1;7;Sco;Скорпион;233;35;186;#6492a0;#0b4b73;#7dd0f1
1;8;Sgr;Стрелец;268;27;188;#af5355;#561111;#e3432b
1;9;Cap;Козерог;295;34;191;#bba983;#60520e;#cdd987
1;10;Aqr;Водолей;329;15;194;#a3b2a6;#95cef1;#d3e2e5
1;11;Psc;Рыбы;344;44;198;#6492a0;#0b4b73;#7dd0f1
